title,type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,cluster,name
Toradora!,SHOW,2008,30,2.0,8.0,14828.0,24.352,8.5,JP,1,animation,6,toradora!
Big Time Rush,SHOW,2009,25,4.0,6.3,12288.0,55.706,8.774,US,1,family,3,big time rush
Midnight Diner,SHOW,2009,27,5.0,8.6,2256.0,7.356,7.9,JP,1,drama,7,midnight diner
Pocoyo,SHOW,2005,11,4.0,3.9,93.0,27.339,7.1,GB,2,animation,4,pocoyo
Total Drama Island,SHOW,2007,23,6.0,7.3,10886.0,16.655,7.3,CA,1,war,-1,total drama island
Kath & Kim,SHOW,2002,24,4.0,8.3,4261.0,3.926,6.6,AU,1,comedy,-1,kath & kim
Ouran High School Host Club,SHOW,2006,23,1.0,8.2,9929.0,18.186,8.4,JP,1,comedy,23,ouran high school host club
Masha and the Bear,SHOW,2009,7,5.0,7.5,3169.0,38.171,6.9,RU,1,family,-1,masha and the bear
Mobile Suit Gundam Unicorn,SHOW,2010,36,2.0,7.8,1291.0,10.936,7.9,JP,1,scifi,8,mobile suit gundam unicorn
Wakfu,SHOW,2008,22,3.0,8.1,1497.0,19.736,8.9,FR,1,action,-1,wakfu
Vampire Knight,SHOW,2008,25,2.0,7.3,5245.0,17.547,8.4,JP,1,animation,6,vampire knight
Boys Over Flowers,SHOW,2009,64,1.0,7.9,11902.0,80.384,8.28,KR,1,comedy,24,boys over flowers
The Garfield Show,SHOW,2009,17,5.0,5.4,2578.0,25.677,5.2,US,1,animation,22,the garfield show
Ben & Holly's Little Kingdom,SHOW,2009,14,3.0,7.4,1261.0,11.735,6.6,GB,1,animation,4,ben & holly's little kingdom
Code Lyoko,SHOW,2003,24,5.0,7.3,5165.0,9.597,7.7,FR,1,action,-1,code lyoko
DreamWorks Shrek's Swamp Stories,SHOW,2010,24,1.0,6.5,346.0,5.014,8.8,US,1,comedy,1,dreamworks shrek's swamp stories
The Game,SHOW,2006,22,10.0,6.6,4449.0,12.124,8.4,US,1,drama,10,the game
Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,2009,55,1.0,8.1,1768.0,2.422,7.9,US,1,comedy,1,monty python: almost the truth (the lawyer's cut)
Pororo the Little Penguin,SHOW,2003,9,7.0,6.3,91.0,4.404,5.0,KR,1,scifi,43,pororo the little penguin
The Legend of Bruce Lee,SHOW,2008,45,1.0,7.0,1422.0,21.479,6.0,CN,1,action,25,the legend of bruce lee
Den-noh Coil,SHOW,2007,25,1.0,7.8,881.0,13.045,7.9,JP,1,scifi,8,den-noh coil
Zig and Sharko,SHOW,2010,9,3.0,6.8,671.0,19.476,5.8,FR,1,comedy,13,zig and sharko
Johnny Test,SHOW,2005,18,6.0,5.1,8322.0,22.516,5.6,CA,2,animation,9,johnny test
Bo on the Go!,SHOW,2007,22,4.0,4.2,123.0,1.52,6.0,CA,1,animation,9,bo on the go!
Half & Half,SHOW,2002,21,4.0,7.0,1860.0,8.06,8.1,US,1,comedy,1,half & half
Dinosaur King,SHOW,2007,20,2.0,5.6,737.0,28.909,8.2,JP,1,action,21,dinosaur king
El Escamoso,SHOW,2001,48,1.0,7.5,325.0,32.626,7.8,CO,1,drama,-1,el escamoso
Horrid Henry,SHOW,2006,13,5.0,6.3,944.0,2.36,8.0,GB,1,animation,4,horrid henry
The Mafia Dolls,SHOW,2009,43,2.0,6.6,293.0,27.667,7.4,CO,1,drama,-1,the mafia dolls
Vientos de agua,SHOW,2006,73,1.0,8.8,1051.0,1.41,8.8,AR,2,drama,39,vientos de agua
Timmy Time,SHOW,2009,14,3.0,6.9,1111.0,14.959,6.2,GB,1,animation,4,timmy time
Iris,SHOW,2009,61,2.0,7.8,1951.0,9.239,7.6,KR,1,action,-1,iris
Tayo the Little Bus,SHOW,2010,11,6.0,5.3,158.0,4.871,6.3,KR,1,animation,-1,tayo the little bus
One on One,SHOW,2001,20,5.0,7.0,2323.0,6.204,7.9,US,1,comedy,1,one on one
Trotro,SHOW,2004,3,2.0,6.3,122.0,1.841,7.2,FR,1,animation,12,trotro
Oscar's Oasis,SHOW,2010,9,1.0,7.4,586.0,4.963,7.4,FR,1,animation,12,oscar's oasis
Cocaine,SHOW,2005,49,1.0,7.1,61.0,0.6,7.0,US,1,documentation,26,cocaine
The Cartel,SHOW,2008,44,2.0,8.0,774.0,189.665,7.5,CO,1,action,-1,the cartel
Nuevo Rico Nuevo Pobre,SHOW,2007,44,1.0,7.1,211.0,13.94,7.8,CO,1,comedy,-1,nuevo rico nuevo pobre
Monty Python's Personal Best,SHOW,2006,56,1.0,7.9,441.0,0.6,8.0,US,2,comedy,1,monty python's personal best
Chhota Bheem,SHOW,2008,22,12.0,4.1,885.0,1.504,6.1,IN,1,animation,-1,chhota bheem
Fated to Love You,SHOW,2008,67,1.0,7.4,476.0,4.692,7.2,TW,1,comedy,-1,fated to love you
Einsatzgruppen: The Nazi Death Squads,SHOW,2009,44,1.0,7.6,622.0,1.649,7.3,FR,1,documentation,-1,einsatzgruppen: the nazi death squads
The Fierce Wife,SHOW,2010,59,1.0,6.8,95.0,3.995,4.8,TW,1,drama,27,the fierce wife
The Hospital,SHOW,2006,48,1.0,7.4,46.0,5.066,2.2,TW,1,drama,27,the hospital
Autumn's Concerto,SHOW,2009,58,1.0,7.8,495.0,7.776,7.6,TW,1,drama,27,autumn's concerto
Pink Zone,SHOW,2007,0,1.0,5.8,52.0,0.682,10.0,MX,1,drama,28,pink zone
Black & White,SHOW,2009,37,3.0,7.6,312.0,3.208,8.9,TW,1,action,-1,black & white
The Prince Who Turns into a Frog,SHOW,2005,44,1.0,6.7,136.0,1.613,5.8,TW,1,drama,27,the prince who turns into a frog
Shameless,SHOW,2011,54,11.0,8.6,234232.0,252.934,8.112,US,1,drama,10,shameless
Teenage Mutant Ninja Turtles,SHOW,2012,24,5.0,7.8,10809.0,48.881,8.3,US,1,animation,22,teenage mutant ninja turtles
New Girl,SHOW,2011,21,7.0,7.7,219079.0,72.923,7.3,US,1,comedy,1,new girl
Call the Midwife,SHOW,2012,55,11.0,8.5,26146.0,25.211,7.4,GB,1,family,-1,call the midwife
Black Mirror,SHOW,2011,59,5.0,8.8,526383.0,90.552,8.3,GB,1,drama,29,black mirror
Longmire,SHOW,2012,53,6.0,8.3,35021.0,36.854,7.8,US,1,drama,10,longmire
Hunter x Hunter,SHOW,2011,23,3.0,9.0,92162.0,178.265,8.8,JP,1,action,21,hunter x hunter
Ink Master,SHOW,2012,42,13.0,7.4,3998.0,13.078,7.9,US,1,reality,19,ink master
Last Tango in Halifax,SHOW,2012,58,5.0,8.3,7017.0,3.392,7.3,GB,1,drama,29,last tango in halifax
JoJo's Bizarre Adventure,SHOW,2012,24,5.0,8.4,21354.0,64.047,8.8,JP,1,scifi,8,jojo's bizarre adventure
Arrow,SHOW,2012,42,8.0,7.5,427871.0,122.099,6.7,US,1,action,17,arrow
Ninjago: Masters of Spinjitzu,SHOW,2012,17,16.0,7.3,4798.0,67.932,7.8,DK,2,animation,-1,ninjago: masters of spinjitzu
Sword Art Online,SHOW,2012,23,4.0,7.6,44606.0,58.325,8.284,JP,1,scifi,8,sword art online
The Legend of Korra,SHOW,2012,23,4.0,8.4,119272.0,56.153,8.307,US,1,animation,22,the legend of korra
The Borgias,SHOW,2011,51,3.0,7.9,51041.0,18.887,7.6,HU,3,drama,-1,the borgias
Comedians in Cars Getting Coffee,SHOW,2012,19,11.0,8.0,12522.0,13.067,7.1,US,1,comedy,1,comedians in cars getting coffee
Top Boy,SHOW,2011,48,2.0,8.4,24165.0,14.536,7.4,GB,1,drama,29,top boy
Transformers: Rescue Bots,SHOW,2012,22,4.0,6.4,925.0,9.697,8.2,US,1,scifi,2,transformers: rescue bots
Lilyhammer,SHOW,2012,45,3.0,7.9,29366.0,15.363,7.4,NO,1,comedy,-1,lilyhammer
Teen Mom 2,SHOW,2011,41,11.0,4.5,28.0,11.811,6.6,US,1,reality,19,teen mom 2
Blue Exorcist,SHOW,2011,25,2.0,7.5,12985.0,46.557,8.1,JP,1,scifi,8,blue exorcist
MeatEater,SHOW,2012,22,10.0,7.5,1486.0,7.81,9.0,US,1,documentation,26,meateater
Cuckoo,SHOW,2012,27,5.0,5.9,20.0,13.25,6.9,GB,1,comedy,0,cuckoo
Rita,SHOW,2012,40,5.0,8.1,8718.0,11.299,7.7,DK,1,comedy,-1,rita
Larva,SHOW,2011,2,5.0,7.1,615.0,9.644,7.4,KR,1,comedy,24,larva
My Babysitter's a Vampire,SHOW,2011,22,2.0,6.9,4454.0,25.428,8.3,CA,2,scifi,5,my babysitter's a vampire
Pablo Escobar: The Drug Lord,SHOW,2012,44,1.0,8.4,5019.0,337.869,7.6,CO,1,crime,-1,pablo escobar: the drug lord
Magi,SHOW,2012,24,3.0,7.8,4006.0,28.161,8.6,JP,1,scifi,8,magi
Barbie: Life in the Dreamhouse,SHOW,2012,6,7.0,7.4,1887.0,30.905,7.4,US,1,family,3,barbie: life in the dreamhouse
Kuroko's Basketball,SHOW,2012,24,3.0,8.3,8420.0,61.164,8.7,JP,1,comedy,23,kuroko's basketball
Wolverine,SHOW,2011,24,1.0,6.2,1519.0,8.022,6.5,JP,1,scifi,8,wolverine
La Reina del Sur,SHOW,2011,41,2.0,8.0,2445.0,108.286,7.693,MX,1,drama,28,la reina del sur
TIGER & BUNNY,SHOW,2011,25,2.0,7.3,1028.0,8.393,7.1,JP,1,scifi,8,tiger & bunny
Inborn Pair,SHOW,2011,43,1.0,7.1,108.0,4.989,1.0,TW,1,drama,27,inborn pair
Smile PreCure!,SHOW,2012,23,2.0,6.2,391.0,10.849,7.6,JP,1,action,21,smile precure!
EastSiders,SHOW,2012,23,4.0,6.8,2783.0,5.685,6.9,US,1,comedy,1,eastsiders
Robocar Poli,SHOW,2011,14,4.0,6.0,126.0,11.341,7.7,KR,1,animation,-1,robocar poli
LEGO Friends,SHOW,2012,16,5.0,7.6,20.0,3.483,5.0,US,1,animation,22,lego friends
Little Baby Bum,SHOW,2011,7,4.0,6.4,94.0,0.971,10.0,GB,1,family,-1,little baby bum
Outback Truckers,SHOW,2012,44,9.0,7.4,264.0,6.693,8.1,AU,1,reality,54,outback truckers
LEGO City,SHOW,2011,4,3.0,5.0,37.0,1.403,5.8,GB,1,animation,4,lego city
Inside West Coast Customs,SHOW,2011,43,8.0,7.3,44.0,4.71,9.1,US,1,reality,19,inside west coast customs
El Reemplazante,SHOW,2012,45,2.0,8.5,777.0,4.391,8.0,CL,1,drama,-1,el reemplazante
Justin Time,SHOW,2011,15,3.0,6.0,16.0,3.657,8.0,CA,1,action,30,justin time
Office Girls,SHOW,2011,46,1.0,6.8,153.0,9.047,7.3,TW,1,comedy,-1,office girls
The Glamorous Imperial Concubine,SHOW,2011,47,1.0,6.8,156.0,3.417,7.0,CN,1,drama,31,the glamorous imperial concubine
Drunken to Love You,SHOW,2011,46,1.0,6.5,114.0,3.195,8.0,TW,1,comedy,-1,drunken to love you
Masha's tales,SHOW,2012,5,2.0,6.4,92.0,5.32,7.5,RU,1,animation,-1,masha's tales
Takki,SHOW,2012,16,3.0,6.6,269.0,1.29,8.3,SA,1,drama,-1,takki
Yours Fatefully,SHOW,2012,44,1.0,6.7,15.0,1.796,6.0,SG,1,drama,-1,yours fatefully
"Love, Now",SHOW,2012,45,1.0,7.5,124.0,1.774,6.5,TW,1,drama,27,"love, now"
Peaky Blinders,SHOW,2013,58,6.0,8.8,511668.0,1038.077,8.558,GB,1,crime,-1,peaky blinders
Outlander,SHOW,2014,60,6.0,8.4,156114.0,101.42,8.2,US,1,scifi,2,outlander
Attack on Titan,SHOW,2013,24,4.0,9.0,325381.0,85.661,8.6,JP,1,action,21,attack on titan
The Originals,SHOW,2013,43,5.0,8.3,133406.0,114.436,8.6,US,1,scifi,2,the originals
The Blacklist,SHOW,2013,43,9.0,8.0,242640.0,227.557,7.6,US,1,thriller,32,the blacklist
Married at First Sight,SHOW,2014,64,15.0,6.1,2021.0,15.176,5.6,US,1,reality,19,married at first sight
The Flash,SHOW,2014,42,8.0,7.6,341393.0,537.156,7.8,US,1,drama,10,the flash
Reign,SHOW,2013,42,4.0,7.5,47751.0,50.864,8.0,US,1,drama,10,reign
The 100,SHOW,2014,42,7.0,7.6,245631.0,217.82,7.9,US,1,scifi,2,the 100
Are You The One?,SHOW,2014,41,8.0,6.4,2528.0,9.479,5.9,US,1,reality,19,are you the one?
Gotham,SHOW,2014,43,5.0,7.8,227760.0,106.651,7.6,US,1,drama,10,gotham
House of Cards,SHOW,2013,52,6.0,8.7,497650.0,33.936,8.1,US,1,drama,10,house of cards
How to Get Away with Murder,SHOW,2014,43,6.0,8.1,148643.0,47.891,7.9,US,1,crime,16,how to get away with murder
BoJack Horseman,SHOW,2014,26,6.0,8.8,148127.0,92.956,8.6,US,1,comedy,1,bojack horseman
Madam Secretary,SHOW,2014,43,6.0,7.6,22894.0,28.001,6.9,US,1,war,33,madam secretary
Jane the Virgin,SHOW,2014,42,5.0,7.8,46286.0,62.316,7.952,US,1,drama,10,jane the virgin
Henry Danger,SHOW,2014,24,5.0,5.6,5450.0,103.628,8.3,US,1,comedy,1,henry danger
Orange Is the New Black,SHOW,2013,59,7.0,8.1,298009.0,87.316,7.7,US,1,drama,10,orange is the new black
The Thundermans,SHOW,2013,24,4.0,5.6,5525.0,44.482,8.1,US,1,action,17,the thundermans
Wentworth,SHOW,2013,46,9.0,8.6,22056.0,32.398,8.1,AU,1,drama,11,wentworth
Z Nation,SHOW,2014,43,5.0,6.6,36415.0,66.412,7.2,US,1,action,17,z nation
Marco Polo,SHOW,2014,55,2.0,8.0,71735.0,22.636,7.4,US,1,action,17,marco polo
From Dusk Till Dawn: The Series,SHOW,2014,45,3.0,6.9,20132.0,24.329,6.3,US,1,scifi,2,from dusk till dawn: the series
Sofia the First,SHOW,2013,24,4.0,6.8,2978.0,44.688,7.2,US,1,animation,22,sofia the first
The Seven Deadly Sins,SHOW,2014,25,5.0,7.9,31085.0,25.225,8.503,JP,1,scifi,8,the seven deadly sins
Sam & Cat,SHOW,2013,24,1.0,5.6,9744.0,29.349,7.9,US,1,comedy,1,sam & cat
Derek,SHOW,2013,27,3.0,8.1,32622.0,9.295,7.4,GB,1,drama,29,derek
Young & Hungry,SHOW,2014,21,5.0,7.3,15780.0,21.126,6.8,US,1,comedy,1,young & hungry
Sailor Moon Crystal,SHOW,2014,24,4.0,7.8,2148.0,47.398,8.2,JP,1,animation,6,sailor moon crystal
Lovesick,SHOW,2014,25,3.0,8.0,19899.0,12.802,7.5,GB,1,comedy,0,lovesick
Velvet,SHOW,2014,57,4.0,8.1,6115.0,37.631,6.1,ES,1,drama,34,velvet
Tiny House Nation,SHOW,2014,43,5.0,7.1,1143.0,4.211,7.5,US,1,reality,19,tiny house nation
Angry Birds Toons,SHOW,2013,2,4.0,6.2,835.0,6.854,6.7,FI,1,comedy,-1,angry birds toons
Shtisel,SHOW,2013,49,3.0,8.6,7062.0,14.873,8.4,IL,1,drama,-1,shtisel
Hemlock Grove,SHOW,2013,49,3.0,7.0,39998.0,22.596,7.3,US,1,thriller,32,hemlock grove
Rabbids Invasion,SHOW,2013,10,4.0,5.4,1930.0,11.398,6.0,FR,2,animation,12,rabbids invasion
Zach Stone Is Gonna Be Famous,SHOW,2013,20,1.0,8.3,3744.0,3.795,8.5,US,1,comedy,1,zach stone is gonna be famous
The Irregular at Magic High School,SHOW,2014,23,2.0,7.1,3386.0,46.794,7.9,JP,1,action,21,the irregular at magic high school
Resurrection: Ertugrul,SHOW,2014,57,5.0,7.9,36177.0,30.409,7.7,TR,1,action,-1,resurrection: ertugrul
The Next Step,SHOW,2013,24,7.0,6.0,1950.0,9.889,7.2,CA,1,drama,15,the next step
"Nicky, Ricky, Dicky & Dawn",SHOW,2014,23,4.0,5.1,2642.0,27.683,7.3,US,1,family,3,"nicky, ricky, dicky & dawn"
The Cat in the Hat Knows a Lot About That!,SHOW,2013,19,3.0,6.4,634.0,5.109,7.8,CA,3,animation,9,the cat in the hat knows a lot about that!
The Heirs,SHOW,2013,59,1.0,7.5,10653.0,44.966,7.8,KR,1,comedy,24,the heirs
Mako: Island of Secrets,SHOW,2013,25,4.0,6.7,4015.0,41.013,7.6,AU,1,scifi,-1,mako: island of secrets
Black Ink Crew New York,SHOW,2013,43,10.0,4.6,468.0,7.659,8.5,US,1,reality,19,black ink crew new york
Talking Tom and Friends,SHOW,2014,14,5.0,6.1,411.0,22.213,8.2,US,1,animation,22,talking tom and friends
The Haunted Hathaways,SHOW,2013,24,2.0,5.0,2538.0,17.079,7.1,US,1,comedy,1,the haunted hathaways
Nagi-Asu: A Lull in the Sea,SHOW,2013,23,2.0,7.3,1165.0,12.324,7.5,JP,1,scifi,8,nagi-asu: a lull in the sea
Pac-Man and the Ghostly Adventures,SHOW,2013,22,3.0,4.6,678.0,13.763,7.4,CA,3,action,30,pac-man and the ghostly adventures
Yowamushi Pedal,SHOW,2013,25,4.0,7.7,824.0,23.065,7.3,JP,1,comedy,23,yowamushi pedal
Ever After High,SHOW,2013,29,5.0,7.7,1184.0,28.659,7.8,CA,1,action,30,ever after high
Dérapages,SHOW,2014,53,2.0,7.9,14.0,8.389,6.9,FR,1,drama,35,dérapages
Senora Acero,SHOW,2014,43,5.0,6.8,387.0,139.363,7.8,US,1,crime,16,senora acero
Lalaloopsy,SHOW,2013,23,3.0,6.5,104.0,0.939,4.0,US,1,animation,22,lalaloopsy
Some Assembly Required,SHOW,2014,24,4.0,8.5,22.0,12.121,6.8,CA,1,comedy,18,some assembly required
VeggieTales in the House,SHOW,2014,18,4.0,4.2,311.0,5.953,5.5,US,1,comedy,1,veggietales in the house
Black Money Love,SHOW,2014,76,2.0,7.4,6167.0,24.363,8.2,TR,1,action,-1,black money love
Moving Art,SHOW,2014,28,3.0,8.6,454.0,1.4,6.3,US,1,documentation,26,moving art
Turbo FAST,SHOW,2013,19,3.0,6.3,613.0,7.35,8.7,US,1,comedy,1,turbo fast
All Hail King Julien,SHOW,2014,23,5.0,7.0,2042.0,26.409,6.9,US,1,comedy,1,all hail king julien
20 Minutes,SHOW,2013,46,1.0,7.1,1730.0,2.294,8.0,TR,1,action,-1,20 minutes
Incomplete Life,SHOW,2014,73,1.0,8.5,1987.0,6.909,9.1,KR,1,comedy,24,incomplete life
Dokidoki! PreCure,SHOW,2013,23,2.0,6.2,195.0,9.028,8.0,JP,1,animation,6,dokidoki! precure
Booba,SHOW,2014,4,4.0,6.9,392.0,10.547,7.0,RU,1,comedy,-1,booba
Zbrodnia,SHOW,2014,45,2.0,6.2,692.0,2.675,6.3,PL,1,crime,-1,zbrodnia
"That Winter, the Wind Blows",SHOW,2013,63,1.0,7.6,1836.0,5.05,7.5,KR,1,drama,36,"that winter, the wind blows"
